"","x"
"1",-0.384
"2",-0.457
"3",-0.673
"4",-0.344
"5",-0.311
"6",-0.071
"7",-0.246
"8",-0.235
"9",-0.38
"10",-0.418
"11",-0.67
"12",-0.386
"13",-0.437
"14",-0.15
"15",-0.528
"16",-0.692
"17",-0.629
"18",-0.363
"19",-0.375
"20",-0.328
"21",-0.495
"22",-0.646
"23",-0.754
"24",-0.137
"25",-0.452
"26",-1.031
"27",-0.643
"28",-0.328
"29",-0.311
"30",-0.263
"31",-0.248
"32",-0.274
"33",-0.203
"34",-0.121
"35",-0.913
"36",-0.197
"37",-0.249
"38",-0.041
"39",-0.082
"40",-0.172
"41",-0.085
"42",-0.278
"43",-0.22
"44",-0.132
"45",-0.436
"46",-0.234
"47",-0.288
"48",-0.486
"49",-0.07
"50",-0.526
"51",-0.599
"52",-0.42
"53",-0.273
"54",-0.063
"55",-0.182
"56",-0.256
"57",-0.213
"58",-0.326
"59",-0.696
"60",-0.813
"61",-0.858
"62",-0.415
"63",-0.431
"64",-0.443
"65",-0.735
"66",-0.169
"67",-0.227
"68",-0.131
"69",-0.377
"70",-0.375
"71",-0.434
"72",-0.209
"73",-0.711
"74",-0.817
"75",-0.435
"76",-0.232
"77",-0.194
"78",-0.322
"79",-0.466
"80",-0.623
"81",-0.345
"82",-0.382
"83",-0.932
"84",-0.768
"85",0.263
"86",-0.063
"87",-0.379
"88",-0.187
"89",-0.32
"90",-0.365
"91",-0.51
"92",-0.359
"93",-0.291
"94",-0.431
"95",-0.362
"96",-0.276
"97",-0.834
"98",-0.604
"99",-0.516
"100",-0.482
"101",-0.399
"102",-0.2
"103",-0.138
"104",-0.332
"105",-0.394
"106",-0.711
"107",-0.507
"108",-0.587
"109",-0.125
"110",-0.615
"111",-0.597
"112",-0.135
"113",-0.152
"114",-0.227
"115",-0.153
"116",-0.267
"117",0.002
"118",-0.358
"119",-0.2
"120",-0.324
"121",0.095
"122",-0.173
"123",-0.396
"124",-0.119
"125",-0.533
"126",0.078
"127",-0.089
"128",-0.282
"129",-0.224
"130",-0.364
"131",-0.294
"132",-0.368
"133",-0.306
"134",0.087
"135",-0.665
"136",-0.235
"137",-0.452
"138",-0.316
"139",-0.267
"140",-0.218
"141",-0.073
"142",-0.177
"143",-0.317
"144",-0.54
"145",-0.718
"146",-0.382
"147",0.004
"148",-0.281
"149",-0.029
"150",-0.113
"151",0.067
"152",-0.135
"153",-0.234
"154",-0.247
"155",-0.517
"156",-0.098
"157",-0.159
"158",0.241
"159",-0.602
"160",-0.232
"161",-0.21
"162",-0.372
"163",-0.295
"164",-0.228
"165",-0.252
"166",-0.581
"167",-0.489
"168",-0.487
"169",-0.072
"170",-0.462
"171",-0.426
"172",-0.246
"173",-0.26
"174",-0.242
"175",-0.11
"176",-0.216
"177",-0.248
"178",-0.352
"179",-0.133
"180",-0.729
"181",-0.349
"182",-0.528
"183",-0.058
"184",-0.157
"185",-0.215
"186",-0.216
"187",-0.129
"188",-0.218
"189",-0.437
"190",-0.505
"191",-0.613
"192",-0.643
"193",-0.378
"194",-0.385
"195",-0.469
"196",-0.163
"197",-0.109
"198",-0.117
"199",-0.206
"200",-0.146
"201",-0.171
"202",-0.269
"203",-0.359
"204",-0.385
"205",-0.09
"206",-0.397
"207",-0.365
"208",-0.414
"209",-0.433
"210",-0.187
"211",-0.138
"212",-0.183
"213",-0.302
"214",-0.541
"215",-0.508
"216",-0.397
"217",-0.033
"218",-0.407
"219",-0.569
"220",-0.573
"221",-0.47
"222",-0.3
"223",-0.111
"224",-0.342
"225",-0.248
"226",-0.476
"227",-0.564
"228",-0.425
"229",-0.665
"230",-0.673
"231",-0.561
"232",-0.457
"233",-0.099
"234",-0.162
"235",-0.33
"236",-0.233
"237",-0.39
"238",-0.463
"239",-0.533
"240",-0.493
"241",-0.32
"242",-0.361
"243",-0.451
"244",-0.407
"245",-0.548
"246",-0.387
"247",-0.272
"248",-0.239
"249",-0.456
"250",-0.465
"251",-0.739
"252",-0.812
"253",-0.401
"254",-0.085
"255",-0.31
"256",-0.442
"257",-0.53
"258",-0.155
"259",-0.136
"260",-0.165
"261",-0.121
"262",-0.157
"263",-0.186
"264",0.142
"265",0.009
"266",0.204
"267",0.341
"268",0.159
"269",-0.125
"270",-0.066
"271",-0.134
"272",-0.116
"273",-0.113
"274",-0.169
"275",-0.274
"276",-0.43
"277",-0.244
"278",-0.254
"279",-0.145
"280",-0.33
"281",-0.279
"282",-0.222
"283",-0.166
"284",-0.298
"285",-0.22
"286",-0.217
"287",-0.537
"288",-0.555
"289",-0.108
"290",-0.264
"291",-0.3
"292",-0.217
"293",-0.334
"294",-0.382
"295",-0.28
"296",-0.112
"297",-0.274
"298",-0.434
"299",-0.557
"300",-0.28
"301",-0.506
"302",-0.354
"303",-0.231
"304",-0.174
"305",-0.02
"306",-0.211
"307",-0.029
"308",-0.104
"309",-0.221
"310",-0.351
"311",-0.497
"312",-0.246
"313",-0.07
"314",-0.123
"315",-0.07
"316",-0.276
"317",-0.266
"318",-0.321
"319",-0.221
"320",-0.166
"321",-0.252
"322",-0.365
"323",-0.489
"324",-0.53
"325",-0.48
"326",-0.382
"327",-0.437
"328",-0.327
"329",-0.317
"330",-0.043
"331",-0.146
"332",-0.241
"333",-0.335
"334",-0.435
"335",-0.348
"336",-0.315
"337",-0.402
"338",-0.3
"339",-0.362
"340",-0.444
"341",-0.345
"342",-0.344
"343",-0.243
"344",-0.198
"345",-0.29
"346",-0.3
"347",-0.559
"348",-0.384
"349",-0.551
"350",-0.481
"351",-0.343
"352",-0.426
"353",-0.386
"354",-0.432
"355",-0.268
"356",-0.301
"357",-0.241
"358",-0.309
"359",-0.311
"360",-0.15
"361",-0.34
"362",-0.49
"363",-0.339
"364",-0.14
"365",-0.061
"366",-0.236
"367",-0.138
"368",-0.134
"369",-0.202
"370",-0.341
"371",-0.362
"372",-0.29
"373",-0.439
"374",-0.483
"375",-0.363
"376",-0.426
"377",-0.262
"378",-0.302
"379",-0.151
"380",-0.278
"381",-0.259
"382",-0.465
"383",-0.365
"384",-0.357
"385",-0.629
"386",-0.512
"387",-0.556
"388",-0.281
"389",-0.301
"390",-0.234
"391",-0.265
"392",-0.26
"393",-0.139
"394",-0.114
"395",-0.218
"396",-0.234
"397",-0.195
"398",-0.144
"399",-0.142
"400",-0.12
"401",-0.036
"402",-0.088
"403",-0.2
"404",-0.266
"405",-0.27
"406",-0.351
"407",-0.436
"408",-0.185
"409",-0.347
"410",-0.308
"411",-0.334
"412",-0.315
"413",-0.454
"414",-0.398
"415",-0.406
"416",-0.406
"417",-0.466
"418",-0.472
"419",-0.596
"420",-0.423
"421",-0.583
"422",-0.555
"423",-0.422
"424",-0.364
"425",-0.256
"426",-0.285
"427",-0.312
"428",-0.258
"429",-0.167
"430",-0.319
"431",-0.537
"432",-0.163
"433",-0.477
"434",-0.099
"435",-0.453
"436",-0.481
"437",-0.407
"438",-0.25
"439",-0.397
"440",-0.351
"441",-0.232
"442",-0.439
"443",-0.571
"444",-0.746
"445",-1.032
"446",-0.803
"447",-0.386
"448",-0.538
"449",-0.518
"450",-0.342
"451",-0.185
"452",-0.314
"453",-0.3
"454",-0.259
"455",-0.368
"456",-0.329
"457",-0.422
"458",-0.333
"459",-0.37
"460",-0.407
"461",-0.435
"462",-0.467
"463",-0.342
"464",-0.358
"465",-0.5
"466",-0.417
"467",-0.474
"468",-0.408
"469",-0.567
"470",-0.688
"471",-0.465
"472",-0.356
"473",-0.353
"474",-0.291
"475",-0.384
"476",-0.257
"477",-0.205
"478",-0.245
"479",-0.274
"480",-0.267
"481",-0.241
"482",-0.2
"483",-0.412
"484",-0.358
"485",-0.096
"486",-0.133
"487",-0.145
"488",-0.148
"489",-0.155
"490",-0.099
"491",-0.311
"492",-0.091
"493",-0.29
"494",-0.168
"495",-0.323
"496",-0.095
"497",-0.011
"498",-0.076
"499",-0.111
"500",-0.119
"501",-0.105
"502",-0.149
"503",-0.414
"504",-0.35
"505",-0.053
"506",-0.297
"507",-0.77
"508",-0.396
"509",-0.398
"510",-0.205
"511",-0.269
"512",-0.255
"513",-0.258
"514",-0.446
"515",-0.461
"516",-0.265
"517",-0.247
"518",-0.505
"519",-0.518
"520",-0.294
"521",-0.25
"522",-0.291
"523",-0.173
"524",-0.151
"525",-0.115
"526",-0.135
"527",0.054
"528",-0.404
"529",-0.302
"530",-0.269
"531",-0.339
"532",-0.25
"533",-0.159
"534",-0.067
"535",-0.153
"536",-0.173
"537",-0.14
"538",-0.038
"539",-0.312
"540",-0.089
"541",-0.134
"542",-0.255
"543",-0.256
"544",-0.144
"545",-0.178
"546",-0.149
"547",-0.236
"548",-0.238
"549",-0.314
"550",-0.325
"551",-0.426
"552",-0.436
"553",-0.083
"554",-0.149
"555",-0.321
"556",-0.423
"557",-0.344
"558",-0.329
"559",-0.298
"560",-0.353
"561",-0.368
"562",-0.449
"563",-0.522
"564",-0.544
"565",-0.321
"566",-0.136
"567",-0.421
"568",-0.445
"569",-0.441
"570",-0.473
"571",-0.459
"572",-0.492
"573",-0.524
"574",-0.532
"575",-0.533
"576",-0.575
"577",-0.626
"578",-0.546
"579",-0.649
"580",-0.561
"581",-0.452
"582",-0.403
"583",-0.416
"584",-0.373
"585",-0.358
"586",-0.35
"587",-0.266
"588",-0.33
"589",-0.47
"590",-0.679
"591",-0.503
"592",-0.549
"593",-0.342
"594",-0.288
"595",-0.28
"596",-0.265
"597",-0.251
"598",-0.342
"599",-0.238
"600",-0.233
"601",-0.171
"602",-0.319
"603",-0.375
"604",-0.182
"605",-0.251
"606",-0.226
"607",-0.308
"608",-0.238
"609",-0.318
"610",-0.3
"611",-0.503
"612",-0.312
"613",-0.531
"614",-0.531
"615",-0.426
"616",-0.604
"617",-0.661
"618",-0.556
"619",-0.478
"620",-0.459
"621",-0.382
"622",-0.363
"623",-0.595
"624",-0.483
"625",-0.432
"626",-0.465
"627",-0.635
"628",-0.515
"629",-0.523
"630",-0.379
"631",-0.387
"632",-0.446
"633",-0.386
"634",-0.516
"635",-0.571
"636",-0.49
"637",-0.538
"638",-0.514
"639",-0.635
"640",-0.572
"641",-0.529
"642",-0.444
"643",-0.493
"644",-0.285
"645",-0.276
"646",-0.291
"647",-0.287
"648",-0.516
"649",-0.317
"650",-0.435
"651",-0.441
"652",-0.404
"653",-0.447
"654",-0.46
"655",-0.331
"656",-0.386
"657",-0.372
"658",-0.468
"659",-0.585
"660",-0.64
"661",-0.52
"662",-0.612
"663",-0.643
"664",-0.666
"665",-0.5
"666",-0.466
"667",-0.383
"668",-0.372
"669",-0.346
"670",-0.409
"671",-0.352
"672",-0.273
"673",-0.354
"674",-0.26
"675",-0.457
"676",-0.347
"677",-0.354
"678",-0.251
"679",-0.414
"680",-0.507
"681",-0.494
"682",-0.573
"683",-0.461
"684",-0.399
"685",-0.379
"686",-0.464
"687",-0.602
"688",-0.471
"689",-0.52
"690",-0.516
"691",-0.37
"692",-0.302
"693",-0.346
"694",-0.394
"695",-0.23
"696",-0.133
"697",-0.063
"698",-0.194
"699",-0.33
"700",-0.368
"701",-0.259
"702",-0.198
"703",-0.183
"704",-0.27
"705",-0.299
"706",-0.14
"707",-0.328
"708",-0.36
"709",-0.19
"710",-0.004
"711",-0.408
"712",-0.05
"713",-0.218
"714",-0.104
"715",-0.032
"716",-0.159
"717",-0.085
"718",-0.265
"719",-0.169
"720",-0.248
"721",-0.242
"722",-0.237
"723",-0.529
"724",-0.339
"725",-0.374
"726",-0.433
"727",-0.3
"728",-0.25
"729",-0.275
"730",-0.31
"731",-0.51
"732",-0.658
"733",-0.514
"734",-0.785
"735",-0.788
"736",-0.503
"737",-0.748
"738",-0.374
"739",-0.252
"740",-0.319
"741",-0.15
"742",-0.411
"743",-0.353
"744",-0.787
"745",-0.54
"746",-0.557
"747",-0.537
"748",-0.541
"749",-0.598
"750",-0.324
"751",-0.393
"752",-0.417
"753",-0.344
"754",-0.137
"755",-0.231
"756",-0.269
"757",-0.198
"758",-0.157
"759",-0.355
"760",-0.104
"761",-0.295
"762",-0.232
"763",-0.254
"764",-0.289
"765",-0.171
"766",-0.305
"767",-0.634
"768",-0.484
"769",-0.246
"770",-0.414
"771",-0.196
"772",-0.275
"773",-0.176
"774",-0.265
"775",-0.333
"776",-0.238
"777",-0.175
"778",-0.304
"779",-0.412
"780",-0.443
"781",-0.105
"782",-0.242
"783",-0.221
"784",-0.18
"785",-0.131
"786",-0.149
"787",-0.116
"788",-0.304
"789",-0.265
"790",-0.197
"791",-0.438
"792",-0.238
"793",-0.37
"794",-0.35
"795",-0.336
"796",-0.321
"797",-0.332
"798",-0.311
"799",-0.285
"800",-0.285
"801",-0.31
"802",-0.332
"803",-0.299
"804",-0.325
"805",-0.195
"806",-0.463
"807",-0.354
"808",-0.452
"809",-0.354
"810",-0.262
"811",-0.382
"812",-0.433
"813",-0.303
"814",-0.224
"815",-0.061
"816",-0.058
"817",-0.32
"818",-0.308
"819",-0.32
"820",-0.406
"821",-0.322
"822",-0.265
"823",-0.274
"824",-0.287
"825",-0.319
"826",-0.33
"827",-0.391
"828",-0.565
"829",-0.402
"830",-0.291
"831",-0.256
"832",-0.263
"833",-0.293
"834",-0.282
"835",-0.265
"836",-0.172
"837",-0.244
"838",-0.328
"839",-0.151
"840",0.015
"841",0.085
"842",0.055
"843",-0.011
"844",-0.203
"845",-0.235
"846",-0.142
"847",-0.195
"848",-0.054
"849",-0.122
"850",-0.082
"851",-0.215
"852",-0.242
"853",-0.256
"854",-0.108
"855",-0.347
"856",-0.275
"857",-0.278
"858",-0.19
"859",-0.135
"860",-0.153
"861",-0.114
"862",-0.075
"863",-0.205
"864",-0.473
"865",-0.128
"866",-0.214
"867",-0.4
"868",-0.324
"869",-0.259
"870",-0.28
"871",-0.187
"872",-0.214
"873",-0.17
"874",-0.172
"875",-0.133
"876",-0.194
"877",-0.43
"878",-0.687
"879",-0.388
"880",-0.397
"881",-0.389
"882",-0.344
"883",-0.349
"884",-0.257
"885",-0.26
"886",-0.143
"887",-0.093
"888",-0.516
"889",-0.354
"890",-0.207
"891",-0.188
"892",-0.211
"893",-0.233
"894",-0.127
"895",-0.105
"896",-0.079
"897",-0.13
"898",-0.119
"899",0.026
"900",-0.095
"901",0.007
"902",-0.24
"903",-0.122
"904",-0.161
"905",-0.163
"906",-0.016
"907",0.019
"908",-0.061
"909",-0.097
"910",-0.061
"911",-0.179
"912",-0.084
"913",0.126
"914",-0.234
"915",-0.307
"916",-0.11
"917",-0.207
